Organisation,Location,Date,Rocket_Status,Price,Mission_Status
ULA,"SLC-41, Cape Canaveral SFS, Florida, USA","Thu Feb 11, 2010 15:23 UTC",Active,109.0,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA","Mon Feb 08, 2010 09:14 UTC",Retired,450.0,Success
Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Wed Feb 03, 2010 03:45 UTC",Retired,20.0,Success
Roscosmos,"Site 81/24, Baikonur Cosmodrome, Kazakhstan","Thu Jan 28, 2010 00:17 UTC",Active,65.0,Success
CASC,"LC-2, Xichang Satellite Launch Center, China","Sat Jan 16, 2010 16:12 UTC",Retired,20.14,Success
ILS,"Site 200/39, Baikonur Cosmodrome, Kazakhstan","Tue Dec 29, 2009 00:21 UTC",Active,65.0,Success
Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Sun Dec 20, 2009 21:52 UTC",Retired,0,Success
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Fri Dec 18, 2009 16:26 UTC",Retired,0,Success
CASC,"LC-9, Taiyuan Satellite Launch Center, China","Tue Dec 15, 2009 02:31 UTC",Active,64.68,Success
ULA,"SLC-2W, Vandenberg SFB, California, USA","Mon Dec 14, 2009 14:09 UTC",Retired,0,Success
Roscosmos,"Site 81/24, Baikonur Cosmodrome, Kazakhstan","Mon Dec 14, 2009 10:38 UTC",Active,65.0,Success
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China","Wed Dec 09, 2009 08:42 UTC",Active,29.75,Success
ULA,"SLC-37B, Cape Canaveral SFS, Florida, USA","Sun Dec 06, 2009 01:47 UTC",Retired,0,Success
Land Launch,"Site 45/1, Baikonur Cosmodrome, Kazakhstan","Mon Nov 30, 2009 21:00 UTC",Retired,0,Success
MHI,"LA-Y1, Tanegashima Space Center, Japan","Sat Nov 28, 2009 01:21 UTC",Active,90.0,Success
ILS,"Site 200/39, Baikonur Cosmodrome, Kazakhstan","Tue Nov 24, 2009 14:19 UTC",Active,65.0,Success
ULA,"SLC-41, Cape Canaveral SFS, Florida, USA","Mon Nov 23, 2009 06:55 UTC",Retired,130.0,Success
